"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp","noofpartners","chose1","chose2","chose3","chose4","chose5","chose1_ind","chose2_ind","chose3_ind","chose4_ind","chose5_ind","group_chosen","group_notchosen","partner_accept","partner_reject","partner_accept_task1","a_top_no","a_bottom_no","b_top_no","b_bottom_no","outside_no","ownamount","defected","timedout"
"875","Now that you've created your avatar, please could you answer the three questions in the pages that follow to provide a short description of yourself. <br><br>These will be shared with potential partners in your interactions in the upcoming tasks, while theirs will be shared with you.<br></p>Please click the button at the bottom of the page to continue.<br></p>","0","html-button-response","0","881","0.0-0.0-0.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1177","","","survey-text-adapt","1","2811","0.0-0.0-1.0","9ymqjo","1536","734","{""Q0"":""s""}","s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"984","","","survey-text-adapt","2","4547","0.0-0.0-2.0","9ymqjo","1536","734","{""Q0"":""d""}","","d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"777","","","survey-text-adapt","3","6075","0.0-0.0-3.0","9ymqjo","1536","734","{""Q0"":""f""}","","","f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1829","<br><br><div><img src='svgavatars/ready-avatars/9ymqjo.png' alt='blinking!'></img><br></div><br><b>Films:</b>  s  <br><b>Music:</b>  d  <br><b>Food:</b>   f  <br><br>Well done!!<br>You've created your own avatar and provided a description of yourself, which will represent you as you interact with partners in the tasks that follow.<br><br>Please click the button below to continue to Part 2.<br><br>","0","html-button-response","4","8659","0.0-0.0-4.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4359","","","instructions","5","14019","0.0-0.0-5.0","9ymqjo","1536","734","","","","","[{""page_index"":0,""viewing_time"":1170},{""page_index"":1,""viewing_time"":482},{""page_index"":2,""viewing_time"":814},{""page_index"":3,""viewing_time"":847},{""page_index"":4,""viewing_time"":552},{""page_index"":5,""viewing_time"":492}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","6","16521","0.0-0.0-6.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","7","18524","0.0-0.0-7.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","8","21537","0.0-0.0-8.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","9","24039","0.0-0.0-9.0","9ymqjo","1536","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"690","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><p>The partner you have been matched with is: <b>Player 11</b>.<br><br> Click the button below to read the instructions for the task that follows.<br><br></p>","0","html-button-response","10","25731","0.0-0.0-10.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"530","<p>As described earlier, in this task your partner will first make a choice. You will then have to make a choice between two options. A reminder that your partner will not see which choice you make.<br><br>To complete your task you must:<br>1. Click the <i>start</i> button<br>2. <i>Move the mouse cursor</i> out of the grey box to reveal your two options<br>3. Use the mouse to <i>click</i> on your choice<br><br> Before you begin the task, you and your partner have several rounds for practice. These are to make you familiar with the task and you are not able to earn points in them.<br><br> Click the button below to begin the practice session.</p>","0","html-button-response","11","27263","0.0-0.0-11.0","9ymqjo","1536","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","12","30266","0.0-1.0-0.0-0.0","9ymqjo","1536","734","","","","","","122","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"746","","1","html-button-response","13","31765","0.0-1.0-0.0-1.0","9ymqjo","1536","734","","","","","","","","1_start_click","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","14","31914","0.0-1.0-0.0-3.0","9ymqjo","1536","734","","","","","","","","2_start_leave","5","true","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1130","","0","html-button-response","15","33046","0.0-1.0-0.0-5.0","9ymqjo","1536","734","","","","","","","","3_choice","5","","","-2","250","350","#ffaa00","#0064ff","350","false","250","#ffaa00","0","#0064ff","197","124","741,726,677,677,609,609,530,454,454,390,390,336,305,305,288,288,275,256,256,240,240,226,220,220,217,217,212,208,208,200,200,194,190,190,186,186,184,184,184,183,183,183,186,186,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,189,191,192,192,194,194,196,196,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197","616,596,529,529,461,461,402,358,358,330,330,301,280,280,268,268,260,249,249,242,242,236,233,233,231,231,228,225,225,213,213,204,192,192,179,179,168,159,159,148,148,141,132,132,128,128,125,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124","12,21,32,41,51,61,70,81,91,101,111,121,130,141,151,161,171,181,191,201,211,221,230,241,251,261,270,281,291,301,311,321,330,341,351,361,371,381,391,401,411,420,431,441,451,461,471,481,491,500,511,521,531,541,551,561,571,581,591,601,611,621,631,641,651,661,671,681,691,701,711,721,731,741,751,761,771,781,791,801,811,820,831,841,851,861,871,880,890,901,910,921,931,941,951,961,971,981,991,1001,1011,1021,1031,1042,1052,1061,1070,1081,1090,1101,1111,1121","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<table>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/9ymqjo.png""></img> </td>                <th>Your choice</th><td>=</td>                <td style = ""background-color: #ffaa00""><b>250<b></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr><td> <img width=""130"" src=""svgavatars/ready-avatars/partner_auto.png""></img> </td>                <th>Your partners choice</th><td>=</td>                <td style = ""background-color: #0064ff;""><b>350<b></td></tr>              <tr><th></th> <td></td> <td></td><td></td></tr>              <tr style= ""border-bottom: 1px solid black;border-top: 1px solid black;"">                <th style=""color:red"">REWARDS</th><td></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">You</th>                <td style = ""font-size: 30px;""><b>250<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>              <tr>                <th style = ""font-size: 30px;"">Your partner</th>                <td style = ""font-size: 30px;""><b>0<b></td><td></td><td><br></td></tr>              <tr><th></th> <td></td> <td></td><td><br></td></tr>            </table>","","html-keyboard-response","16","36549","0.0-1.0-1.0","9ymqjo","1536","734","","","","","","null","","4_feedback_auto","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
