"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp","noofpartners","chose1","chose2","chose3","chose4","chose5","chose1_ind","chose2_ind","chose3_ind","chose4_ind","chose5_ind","group_chosen","group_notchosen","partner_accept","partner_reject","partner_accept_task1","a_top_no","a_bottom_no","b_top_no","b_bottom_no","outside_no","ownamount","defected"
"1246","Now that you've created your avatar, please could you answer the three questions in the pages that follow to provide a short description of yourself. <br><br>These will be shared with potential partners in your interactions in the upcoming tasks, while theirs will be shared with you.<br></p>Please click the button at the bottom of the page to continue.<br></p>","0","html-button-response","0","1252","0.0-0.0-0.0","eb4p80","1127","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1505","","","survey-text-adapt","1","3510","0.0-0.0-1.0","eb4p80","1127","734","{""Q0"":""23""}","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1412","","","survey-text-adapt","2","5675","0.0-0.0-2.0","eb4p80","1127","734","{""Q0"":""we""}","","we","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"715","","","survey-text-adapt","3","7143","0.0-0.0-3.0","eb4p80","1127","734","{""Q0"":""we""}","","","we","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2490","<br><br><div><img src='svgavatars/ready-avatars/eb4p80.png' alt='blinking!'></img><br></div><br><b>Films:</b>  23  <br><b>Music:</b>  we  <br><b>Food:</b>   we  <br><br>Well done!!<br>You've created your own avatar and provided a description of yourself, which will represent you as you interact with partners in the tasks that follow.<br><br>Please click the button below to continue to Part 2.<br><br>","0","html-button-response","4","10387","0.0-0.0-4.0","eb4p80","1127","734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4351","","","instructions","5","15740","0.0-0.0-5.0","eb4p80","1127","734","","","","","[{""page_index"":0,""viewing_time"":1244},{""page_index"":1,""viewing_time"":653},{""page_index"":2,""viewing_time"":636},{""page_index"":3,""viewing_time"":610},{""page_index"":4,""viewing_time"":612},{""page_index"":5,""viewing_time"":594}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","6","18243","0.0-0.0-6.0","eb4p80","1127","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","7","20246","0.0-0.0-7.0","eb4p80","1127","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","8","23247","0.0-0.0-8.0","eb4p80","1127","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","9","25749","0.0-0.0-9.0","eb4p80","1127","734","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
