"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","docw","doch","responses","q1film","q2music","q3food","view_history","key_press","partner","test_part","trial_no","correct_response","intime","condition","amounta","amountb","colora","colorb","computeramount","cooperate","yourpayout","yourcolor","computerpayout","computercolor","xposfinal","yposfinal","xposstore","yposstore","timestamp"
"6695","Now that you've created your avatar, please could you answer the three questions in the pages that follow to provide a short description of yourself. <br><br>These will be shared with potential partners in your interactions in the upcoming tasks, while theirs will be shared with you.<br></p>Please click the button at the bottom of the page to continue.<br></p>","0","html-button-response","0","6698","0.0-0.0-0.0","xqfp9t","1127","734","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1427","","","survey-text-adapt","1","8877","0.0-0.0-1.0","xqfp9t","1127","734","{""Q0"":""rr""}","rr","","","","","","","","","","","","","","","","","","","","","","","","",""
"1090","","","survey-text-adapt","2","10718","0.0-0.0-2.0","xqfp9t","1127","734","{""Q0"":""gg""}","","gg","","","","","","","","","","","","","","","","","","","","","","","",""
"1142","","","survey-text-adapt","3","12613","0.0-0.0-3.0","xqfp9t","1127","734","{""Q0"":""dd""}","","","dd","","","","","","","","","","","","","","","","","","","","","","",""
"2010","<br><br><div><img src='svgavatars/ready-avatars/xqfp9t.png' alt='blinking!'></img><br></div><br><b>Films:</b>  rr  <br><b>Music:</b>  gg  <br><b>Food:</b>   dd  <br><br>Well done!!<br>You've created your own avatar and provided a description of yourself, which will represent you as you interact with partners in the tasks that follow.<br><br>Please click the button below to continue to Part 2.<br><br>","0","html-button-response","4","15374","0.0-0.0-4.0","xqfp9t","1127","734","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3720","","","instructions","5","20096","0.0-0.0-5.0","xqfp9t","1127","734","","","","","[{""page_index"":0,""viewing_time"":1002},{""page_index"":1,""viewing_time"":542},{""page_index"":2,""viewing_time"":597},{""page_index"":3,""viewing_time"":562},{""page_index"":4,""viewing_time"":489},{""page_index"":5,""viewing_time"":528}]","","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","6","23140","0.0-0.0-6.0","xqfp9t","1127","734","","","","","","null","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","7","25868","0.0-0.0-7.0","xqfp9t","1127","734","","","","","","null","","","","","","","","","","","","","","","","","","","","",""
"null","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:white; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","8","29144","0.0-0.0-8.0","xqfp9t","1127","734","","","","","","null","","","","","","","","","","","","","","","","","","","","",""
"2155","<button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button> <button class=""jspsych-btn"" style=""background-color:green; width: 40px; height: 40px""></button><br><br><br>Please wait while we gather participants together and group you into teams...","","html-keyboard-response","9","31645","0.0-0.0-9.0","xqfp9t","1127","734","","","","","","17","","","","","","","","","","","","","","","","","","","","",""
"950","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><p>The partner you have been matched with is: <b>Player 11</b>.<br><br> Click the button below to read the instructions for the task that follows.<br><br></p>","0","html-button-response","10","33597","0.0-0.0-10.0","xqfp9t","1127","734","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"823","<p>As described earlier, in this task your partner will first make a choice. You will then have to make a choice between two options. A reminder that your partner will not see which choice you make.<br><br>To complete your task you must:<br>1. Click the <i>start</i> button<br>2. <i>Move the mouse cursor</i> out of the grey box to reveal your two options<br>3. Use the mouse to <i>click</i> on your choice<br><br> Before you begin the task, you and your partner have several rounds for practice. These are to make you familiar with the task and you are not able to earn points in them.<br><br> Click the button below to begin the practice session.</p>","0","html-button-response","11","35427","0.0-0.0-11.0","xqfp9t","1127","734","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div><img src='svgavatars/ready-avatars/partner_auto.png'></img><br><br></div><div class='float: center;'><img src='img/waiting.gif'></img></div><br>Please wait while your partner makes their choice...","","html-keyboard-response","12","38429","0.0-1.0-0.0-0.0","xqfp9t","1127","734","","","","","","null","svgavatars/ready-avatars/partner_auto.png","","","","","","","","","","","","","","","","","","","",""
"585","","1","html-button-response","13","39766","0.0-1.0-0.0-1.0","xqfp9t","1127","734","","","","","","","","1_start_click","10","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","14","39851","0.0-1.0-0.0-3.0","xqfp9t","1127","734","","","","","","","","2_start_leave","10","true","yes","","","","","","","","","","","","","","","",""
